,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1981,31,28,0,0,0,0,25,0,0,0,0,0,84
1,1982,31,4,0,0,0,0,25,31,30,1,0,31,153
2,1983,0,0,0,0,0,26,0,31,0,0,24,31,112
3,1984,21,0,24,4,0,0,28,31,30,12,0,0,150
4,1985,0,1,0,0,0,0,0,0,0,0,0,0,1
5,1986,0,1,0,0,0,0,0,0,0,0,0,0,1
6,1987,0,1,0,0,0,0,0,0,0,0,0,0,1
7,1988,0,0,0,16,2,0,12,0,0,0,0,0,30
8,1989,31,5,0,0,0,0,0,0,0,0,0,0,36
9,1990,1,26,0,0,0,0,0,1,0,0,0,0,28
10,1991,0,1,0,0,0,1,31,31,0,0,1,0,65
11,1992,31,29,0,0,0,0,30,0,29,9,15,0,143
12,1993,0,2,0,0,0,0,30,30,1,0,0,0,63
13,1994,0,28,30,3,10,0,0,30,0,30,0,0,131
14,1995,0,28,31,0,0,0,0,31,30,0,0,0,120
15,1996,0,0,0,3,27,0,0,0,0,0,0,0,30
16,1997,0,1,0,0,0,0,0,0,0,0,0,0,1
17,1998,0,1,3,9,0,0,0,0,0,0,0,0,13
18,1999,0,1,0,0,0,0,0,30,0,3,30,0,64
19,2000,0,0,0,27,31,29,30,0,0,0,0,0,117
20,2001,0,2,0,29,31,29,31,31,30,0,0,0,183
21,2002,0,28,31,29,0,0,15,0,30,21,17,0,171
22,2003,0,1,0,0,0,28,31,12,0,0,0,0,72
23,2004,30,11,0,0,29,7,30,2,28,5,0,0,142
24,2005,0,1,0,0,0,0,0,0,0,0,0,0,1
25,2006,0,1,0,0,0,0,0,0,0,0,0,0,1
26,2007,0,1,27,9,0,0,30,5,0,0,0,0,72
27,2008,0,2,0,0,0,0,0,0,0,0,0,0,2
28,2009,0,1,18,11,0,4,0,0,0,0,0,0,34
29,2010,0,1,0,0,0,0,0,0,0,0,0,0,1
30,2011,0,1,0,0,0,0,0,0,0,0,0,0,1
31,2012,0,0,0,1,0,1,0,0,0,0,0,0,2
32,2013,0,1,0,0,0,0,0,0,0,0,0,0,1
33,2014,0,1,0,0,0,0,0,0,0,0,0,0,1
34,2015,0,1,0,0,0,0,0,0,0,0,0,0,1
35,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2017,0,1,0,0,0,0,0,0,0,0,0,0,1
37,2018,0,1,0,0,0,0,0,0,0,0,0,0,1
38,2019,0,1,0,0,0,0,0,0,0,0,1,0,2
39,2020,0,0,0,0,0,0,0,1,0,0,0,0,1
